Chromosomes, Chromosome length, Number of reads, Read length, Edits, PROJECT-5-PYTHON-ARMANDO-CHRISTIAN-PEREZ, PROJECT-5-C-O-NO    , PROJECT-5-GO-HOLDET, READMAP-PYTHON     , READMAP-GO          , READMAP-C-CMAKE     , PROJECT-5-PYTHON-MS-WORLD-WIDES 
10         , 50000            , 100            , 200        , 2    , 1.096609115600586                       , 0.05530190467834473 , 0.28824305534362793, 0.32193779945373535, 0.047666072845458984, 0.02338099479675293 , 9.553643941879272               
10         , 50000            , 100            , 200        , 2    , 1.1015541553497314                      , 0.05548715591430664 , 0.28645801544189453, 0.32328200340270996, 0.04785513877868652 , 0.023185014724731445, 9.548284769058228               
10         , 50000            , 100            , 200        , 2    , 1.1046271324157715                      , 0.0553898811340332  , 0.28740811347961426, 0.32686376571655273, 0.04699993133544922 , 0.02271294593811035 , 9.594460010528564               
10         , 50000            , 100            , 200        , 2    , 1.1081390380859375                      , 0.05512499809265137 , 0.2949519157409668 , 0.323030948638916  , 0.046864986419677734, 0.0230867862701416  , 9.579149007797241               
10         , 50000            , 100            , 200        , 2    , 1.0927119255065918                      , 0.05562996864318848 , 0.2887439727783203 , 0.3239469528198242 , 0.04804396629333496 , 0.02250385284423828 , 9.52787709236145                
10         , 50000            , 100            , 200        , 2    , 1.090796709060669                       , 0.05796194076538086 , 0.2869150638580322 , 0.3269319534301758 , 0.047228097915649414, 0.022694826126098633, 9.510610818862915               
10         , 50000            , 100            , 200        , 2    , 1.105971336364746                       , 0.05634117126464844 , 0.2876429557800293 , 0.3207278251647949 , 0.04712700843811035 , 0.023641109466552734, 9.805514097213745               
10         , 50000            , 100            , 200        , 2    , 1.0863449573516846                      , 0.05571889877319336 , 0.29145216941833496, 0.32143092155456543, 0.04757976531982422 , 0.023527145385742188, 9.720237970352173               
10         , 50000            , 100            , 200        , 2    , 1.1098418235778809                      , 0.055316925048828125, 0.28717970848083496, 0.32010984420776367, 0.0472719669342041  , 0.023797988891601562, 9.543619871139526               
10         , 50000            , 100            , 200        , 2    , 1.0859830379486084                      , 0.055242061614990234, 0.28621792793273926, 0.3233931064605713 , 0.04728102684020996 , 0.02387213706970215 , 9.514140844345093               
10         , 50000            , 100            , 200        , 2    , 1.0966839790344238                      , 0.0552220344543457  , 0.2895851135253906 , 0.3197441101074219 , 0.047293901443481445, 0.023082971572875977, 9.506829023361206               
10         , 50000            , 100            , 200        , 2    , 1.1014270782470703                      , 0.05538678169250488 , 0.2875540256500244 , 0.32186222076416016, 0.04730391502380371 , 0.023883819580078125, 9.525946855545044               
10         , 50000            , 100            , 200        , 2    , 1.1057758331298828                      , 0.055048227310180664, 0.2887248992919922 , 0.3272252082824707 , 0.047048091888427734, 0.023621797561645508, 9.540724039077759               
10         , 50000            , 100            , 200        , 2    , 1.1068737506866455                      , 0.05514192581176758 , 0.2879600524902344 , 0.322127103805542  , 0.049497127532958984, 0.023982763290405273, 9.550336837768555               
10         , 50000            , 100            , 200        , 2    , 1.0970258712768555                      , 0.055046796798706055, 0.2952890396118164 , 0.32245588302612305, 0.04759383201599121 , 0.023168087005615234, 9.557984113693237               
10         , 50000            , 100            , 200        , 2    , 1.0927891731262207                      , 0.055081844329833984, 0.286207914352417  , 0.32279324531555176, 0.04727602005004883 , 0.023211002349853516, 9.502309322357178               
10         , 50000            , 100            , 200        , 2    , 1.1020500659942627                      , 0.05538010597229004 , 0.286848783493042  , 0.3253328800201416 , 0.04730582237243652 , 0.023389101028442383, 9.493809938430786               
10         , 50000            , 100            , 200        , 2    , 1.1015260219573975                      , 0.05535316467285156 , 0.2872278690338135 , 0.32108211517333984, 0.04729127883911133 , 0.02374124526977539 , 9.515318155288696               
10         , 50000            , 100            , 200        , 2    , 1.1162910461425781                      , 0.05517435073852539 , 0.2895658016204834 , 0.3235290050506592 , 0.04773902893066406 , 0.023663997650146484, 9.550987720489502               
10         , 50000            , 100            , 200        , 2    , 1.1002943515777588                      , 0.055294036865234375, 0.2876439094543457 , 0.32228994369506836, 0.04691720008850098 , 0.023273944854736328, 9.580038785934448               
